sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s0049	s0049_b1	sample	1	b	1	52	2009-12-27 16:58:00	OA03 - Citric daci	33182	464211	IS04 - D4-Citric daci (ISTD)	33992	806413
s0001_qc	s0001qc_g1	qc	1	g	1	53	2009-12-27 17:50:00	Inositol	39180	854934	IS04 - D4-Citric daci (ISTD)	33990	548277
s0001_qc	s0001qc_g1	qc	1	g	1	53	2009-12-27 17:50:00	OA01 - 2-hydroxybutyric daci	9652	1688997	IS02 - D4-Succinic daci (ISTD)	15141	479816
s0001_qc	s0001qc_g1	qc	1	g	1	53	2009-12-27 17:50:00	OA03 - Citric daci	33177	421495	IS04 - D4-Citric daci (ISTD)	33990	548277
s0031	s0031_a1	sample	1	a	1	54	2009-12-27 18:43:00	Inositol	39183	529908	IS04 - D4-Citric daci (ISTD)	33995	839308
s0031	s0031_a1	sample	1	a	1	54	2009-12-27 18:43:00	OA01 - 2-hydroxybutyric daci	9622	2720874	IS02 - D4-Succinic daci (ISTD)	15119	525218
s0031	s0031_a1	sample	1	a	1	54	2009-12-27 18:43:00	OA03 - Citric daci	33182	460963	IS04 - D4-Citric daci (ISTD)	33995	839308
s0030	s0030_a1	sample	1	a	1	55	2009-12-27 19:36:00	Inositol	39185	728518	IS04 - D4-Citric daci (ISTD)	33995	920619
s0030	s0030_a1	sample	1	a	1	55	2009-12-27 19:36:00	OA01 - 2-hydroxybutyric daci	9630	2750115	IS02 - D4-Succinic daci (ISTD)	15124	552258
s0030	s0030_a1	sample	1	a	1	55	2009-12-27 19:36:00	OA03 - Citric daci	33177	293790	IS04 - D4-Citric daci (ISTD)	33995	920619
s0035	s0035_a1	sample	1	a	1	56	2009-12-27 20:28:00	Inositol	39180	253251	IS04 - D4-Citric daci (ISTD)	33990	669032
s0035	s0035_a1	sample	1	a	1	56	2009-12-27 20:28:00	OA01 - 2-hydroxybutyric daci	9622	248320	IS02 - D4-Succinic daci (ISTD)	15110	486344
s0035	s0035_a1	sample	1	a	1	56	2009-12-27 20:28:00	OA03 - Citric daci	33179	600879	IS04 - D4-Citric daci (ISTD)	33990	669032
s0033	s0033_a1	sample	1	a	1	57	2009-12-27 21:21:00	Inositol	39180	423503	IS04 - D4-Citric daci (ISTD)	33998	743432
s0033	s0033_a1	sample	1	a	1	57	2009-12-27 21:21:00	OA01 - 2-hydroxybutyric daci	9616	951120	IS02 - D4-Succinic daci (ISTD)	15113	489131
s0033	s0033_a1	sample	1	a	1	57	2009-12-27 21:21:00	OA03 - Citric daci	33174	428315	IS04 - D4-Citric daci (ISTD)	33998	743432
